country,iso_alpha3,region,sub_region,exag_env,climate_crisis,protect_env,sex,age,educyrs,degree,soc_rank,gov_peo,gov_bus,how_bus,how_peo,mem_env,care_env
Argentina,ARG,Americas,Latin America and the Caribbean,8,34,12,1,48,12,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,12,31,12,0,82,5,Uni,low,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,11,0,52,6,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,29,9,0,26,12,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,24,10,1,29,13,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,24,11,0,40,18,noUni,middle,0,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,29,12,1,56,12,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,25,12,1,57,7,Uni,low,1,1,0,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,35,9,1,22,8,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,27,10,1,39,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,10,0,34,12,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,32,11,1,34,18,noUni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,33,12,1,41,15,Uni,high,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,32,12,0,48,4,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,29,12,0,55,7,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,29,12,0,39,7,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,28,12,1,32,12,Uni,low,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,27,11,0,39,7,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,12,1,19,9,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,27,12,0,37,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,26,6,1,33,14,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,32,7,0,48,15,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,33,6,1,31,14,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,3,0,33,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,32,9,0,27,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,35,7,1,28,10,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,30,6,0,26,12,Uni,middle,1,1,1,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,27,6,0,32,7,Uni,middle,1,0,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,24,12,0,24,14,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,23,10,0,47,8,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,31,11,1,58,10,Uni,middle,0,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,33,8,0,40,12,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,26,7,0,33,14,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,22,8,0,47,12,Uni,middle,1,0,2,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,21,9,0,34,7,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,21,9,1,50,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,24,9,0,28,9,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,35,3,1,41,12,Uni,middle,0,0,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,13,28,8,0,32,12,Uni,high,0,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,35,8,0,55,9,Uni,low,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,14,28,4,0,20,7,Uni,low,0,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,3,34,12,0,33,18,noUni,middle,0,1,2,2,1,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,29,12,1,36,7,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,35,12,1,29,12,Uni,middle,1,1,1,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,3,34,8,0,33,12,Uni,middle,1,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,28,9,0,26,16,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,25,6,1,21,12,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,28,8,0,48,11,Uni,low,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,26,7,1,26,7,Uni,middle,1,0,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,24,8,1,48,7,Uni,middle,0,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,30,8,0,52,14,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,30,8,0,25,7,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,30,5,0,29,12,Uni,middle,0,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,12,30,10,0,39,9,Uni,high,0,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,35,9,0,34,15,Uni,high,1,1,0,0,1,1
Argentina,ARG,Americas,Latin America and the Caribbean,5,34,9,0,38,15,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,26,8,0,30,16,Uni,middle,1,1,1,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,30,10,1,27,10,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,30,8,1,29,14,Uni,middle,0,1,1,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,30,9,0,46,18,noUni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,31,10,0,38,13,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,33,8,0,50,11,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,28,10,1,66,7,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,14,33,11,1,55,7,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,3,31,7,1,26,19,noUni,middle,1,1,1,1,1,1
Argentina,ARG,Americas,Latin America and the Caribbean,3,31,8,1,18,13,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,25,3,0,41,12,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,23,4,0,52,9,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,12,27,5,0,53,11,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,15,24,6,0,20,4,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,32,8,0,31,14,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,29,10,1,46,15,Uni,middle,1,1,1,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,28,7,0,26,7,Uni,middle,0,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,28,8,0,45,11,Uni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,25,10,1,54,15,Uni,middle,1,1,0,2,1,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,31,4,0,23,12,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,32,4,0,20,7,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,27,8,0,43,12,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,19,5,0,46,5,Uni,middle,1,1,2,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,20,6,0,41,0,Uni,middle,1,1,1,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,30,7,1,42,12,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,28,9,0,40,7,Uni,middle,0,1,0,2,0,1
